Francis Heaney,Stephanie Schoen,{'puzzle_name': 'The Voices in Your Head', 'hunt_name': 'MIT Mystery Hunt 2012'}
Francis Heaney,Aaron Swartz,{'puzzle_name': 'The Voices in Your Head', 'hunt_name': 'MIT Mystery Hunt 2012'}
Francis Heaney,Vera Yin,{'puzzle_name': 'The Voices in Your Head', 'hunt_name': 'MIT Mystery Hunt 2012'}
Francis Heaney,Michael Colao,{'puzzle_name': 'Getting There is Half the Fun', 'hunt_name': 'MIT Mystery Hunt 2012'}
Francis Heaney,C. Scott Ananian,{'puzzle_name': 'Mayan Fair Lady Meta', 'hunt_name': 'MIT Mystery Hunt 2012'}
Francis Heaney,Kai Huang,{'puzzle_name': 'I’ll Teach You', 'hunt_name': 'MIT Mystery Hunt 2012'}
Francis Heaney,Emily Morgan,{'puzzle_name': 'Watson 2.0 Meta', 'hunt_name': 'MIT Mystery Hunt 2012'}
Francis Heaney,Josh Ain,{'puzzle_name': "Watson 2.0's Review", 'hunt_name': 'MIT Mystery Hunt 2012'}
Francis Heaney,James Grimmelmann,{'puzzle_name': "Watson 2.0's Review", 'hunt_name': 'MIT Mystery Hunt 2012'}
Francis Heaney,SJ Klein,{'puzzle_name': "Watson 2.0's Review", 'hunt_name': 'MIT Mystery Hunt 2012'}
Francis Heaney,David Turner,{'puzzle_name': "Watson 2.0's Review", 'hunt_name': 'MIT Mystery Hunt 2012'}
Eric Berlin,Andrew Kantor,{'puzzle_name': 'Kakorrhaphiophobia!', 'hunt_name': 'MIT Mystery Hunt 2001'}
Albert Lin,Jaci Conrad,{'puzzle_name': 'Implements of Naivete', 'hunt_name': 'MIT Mystery Hunt 2004'}
Albert Lin,Usman Akeju,{'puzzle_name': 'Mullions (Meta)', 'hunt_name': 'MIT Mystery Hunt 2004'}
Dave Tuller,Michael Rios,{'puzzle_name': 'One of a Kind', 'hunt_name': 'MIT Mystery Hunt 2002'}
Dave Tuller,Todd McClary,{'puzzle_name': 'Adapted for Television', 'hunt_name': 'MIT Mystery Hunt 2002'}
Dave Tuller,Matto Mildenberger,{'puzzle_name': 'Battle of the Network Stars', 'hunt_name': 'MIT Mystery Hunt 2019'}
Dave Tuller,Guy Jacobson,{'puzzle_name': 'Battle of the Network Stars', 'hunt_name': 'MIT Mystery Hunt 2019'}
Jaci Conrad,Liz Demicco,{'puzzle_name': "Cardinal Rule's Chapel", 'hunt_name': 'MIT Mystery Hunt 2004'}
Greg Pliska,Tanis O'Connor,{'puzzle_name': 'Stuffing', 'hunt_name': 'MIT Mystery Hunt 2019'}
Greg Pliska,Eleanor Pritchard,{'puzzle_name': 'Cocktail Party', 'hunt_name': 'MIT Mystery Hunt 2005'}
Greg Pliska,Todd Radford,{'puzzle_name': 'Cocktail Party', 'hunt_name': 'MIT Mystery Hunt 2005'}
Greg Pliska,Marcy Levey,{'puzzle_name': 'Greater Good', 'hunt_name': 'MIT Mystery Hunt 2005'}
Greg Pliska,Tom Pliska,{'puzzle_name': 'Keeping Abreast of the Issues', 'hunt_name': 'MIT Mystery Hunt 2005'}
Greg Pliska,Guy Jacobson,{'puzzle_name': "Thanksgiving Town/President's Day Town Meta", 'hunt_name': 'MIT Mystery Hunt 2019'}
Greg Pliska,Matt Gruskin,{'puzzle_name': "Thanksgiving Town/New Year's Town Meta", 'hunt_name': 'MIT Mystery Hunt 2019'}
